Length,Weight,Fec,SC,Year
255.2,124.89,39781.56566,Spring,2022
271.8,138.96,38883.22684,Spring,2022
296.6,222.78,68386.679,Spring,2022
260.5,129.86,17517.17172,Spring,2022
245,97.52,8013.783784,Spring,2022
247.4,113.5,13903.69326,Spring,2022
244.2,92.41,17028.34008,Spring,2022
248.2,98.91,15751.83005,Spring,2022
308.4,218.15,46472.18233,Spring,2022
249.8,120.89,19920.85561,Spring,2022
308,206.86,34385.49164,Spring,2022
273.4,154.03,20928.27548,Spring,2022
303.9,226.5,41778.19026,Spring,2022
245.4,110.81,26361.24845,Spring,2022
244.8,126.94,32810.80707,Spring,2022
280.7,184.35,41658.53659,Spring,2022
272.4,157.41,30684.27752,Spring,2022
255.6,135.75,27573.68311,Spring,2022
266.1,139.5,21110.32467,Spring,2022
259.5,123.74,24205.63295,Spring,2022
253,132.5,32481.78582,Spring,2022
260.9,142.32,40778.2523,Spring,2022
235.1,105.27,27971.89605,Spring,2022
259.2,140.17,41812.87703,Spring,2022
282.4,193.61,59789.98619,Spring,2022
261.5,148.07,40659.11876,Spring,2022
262.8,141.59,36843.46236,Spring,2022
261.6,131.05,37758.95921,Spring,2022
280.6,163.8,35170.42498,Spring,2022
269.3,158.52,48507.07965,Spring,2022
269.2,141.04,43889.83149,Spring,2022
261.3,138.02,41227.43363,Spring,2022
276.8,188.88,61937.5,Spring,2022
266.4,140.34,42733.01538,Spring,2022
260.5,135.9,34255.48814,Spring,2022
270.1,156.11,39470.0088,Spring,2022
248.6,119,35837.273,Spring,2022
274.4,154.37,51989.31909,Spring,2022
261.5,133.23,38971.09396,Spring,2022
283.5,172.99,42977.30476,Spring,2022
274.9,157.68,40264.64859,Spring,2022
271.7,145.62,40803.65401,Spring,2022
279.3,155.64,30662.91442,Spring,2022
261.1,128.65,33910.16949,Spring,2022
253.2,114.31,29213.38453,Spring,2022
267.3,151.88,40801.76131,Spring,2022
278.5,154.35,37453.46535,Spring,2022
251.7,110.99,30378.50467,Spring,2022
276.5,165.94,54466.88082,Spring,2022
260.3,132.98,30794.45061,Spring,2022
272.4,147.76,40776.29093,Spring,2022
261.9,136.03,39759.20946,Spring,2022
271.3,153.94,45203.83598,Spring,2022
296,236.1,68031.66333,Spring,2022
290.4,219.49,36261.36858,Spring,2022
302.1,221.27,27576.33575,Spring,2022
308.4,256.44,68881.14543,Spring,2022
292.5,215.5,28537.3459,Spring,2022
277.8,195.38,53869.30693,Spring,2022
281,185.31,22425.37386,Spring,2022
268.1,158.71,31250.73485,Spring,2022
275.6,168.46,56813.55932,Spring,2022
289.9,192.1,37734.45724,Spring,2022
293.5,200.16,65685.94699,Spring,2022
277,159.63,55697.44597,Spring,2022
241.9,112.55,28485.69726,Spring,2022
269.5,153.86,27108.18484,Spring,2022
254,136.47,34957.85586,Spring,2022
262,141.77,51682.47929,Spring,2022
271.1,142.48,50392.25928,Spring,2022
278.6,174.16,59660.94771,Spring,2022
301.8,194.52,58541.20603,Spring,2022
251.1,123.44,35678.75616,Spring,2022
309.4,225.15,63639.25697,Spring,2022
261,134.41,37928.67341,Spring,2022
289.4,170.06,51440.28117,Spring,2022
269.3,146.28,44943.31797,Spring,2022
297.9,193.83,57586.08916,Spring,2022
306.2,267.11,93318.54137,Spring,2022
252.9,118.97,35195.82938,Spring,2022
279.5,160.78,53037.03704,Spring,2022
275.6,153.85,49641.71975,Spring,2022
300.3,213.47,51580.88803,Spring,2022
262.2,138.77,48963.458,Spring,2022
286.4,182.7,50610.6632,Spring,2022
310.7,233.69,59456.90482,Spring,2022
292.1,213.46,43496.76966,Fall,2022
313.2,248.44,46423.20711,Fall,2022
306.5,217.6,25214.34893,Fall,2022
278.3,170.77,20454.08805,Fall,2022
273.7,171.43,24689.29504,Fall,2022
292.5,253.7,82321.32289,Fall,2022
308.5,251.86,41667.46507,Fall,2022
315.2,282.72,63782.40295,Fall,2022
314.8,286.1,67814.26087,Fall,2022
279.6,178.99,25025.96076,Fall,2022
296,218.16,22887.85461,Fall,2022
285.5,230.22,36650.83899,Fall,2022
304.3,269.01,38153.55323,Fall,2022
252.9,130.5,9708.091499,Fall,2022
283.1,160.61,22355.85209,Fall,2022
270.9,161.87,40317.83489,Fall,2022
312.1,199.23,34274.21233,Fall,2022
301.6,213.37,55735.57454,Fall,2022
264,156.04,34460.35385,Fall,2022
280.8,176.55,40780.56779,Fall,2022
289.1,220.01,58683.72093,Fall,2022
272,146.43,35267.8239,Fall,2022
308.2,235.53,40756.49705,Fall,2022
310.4,229.76,45405.123,Fall,2022
281.7,185.53,45755.74543,Fall,2022
291.2,203.74,57719.59459,Fall,2022
283.5,182.7,32977.21925,Fall,2022
300.6,213.18,38554.33194,Fall,2022
